round,accuracy,macro_f1,weighted_f1,fpr
1,0.992471,0.742246,0,0
2,0.985702,0.713573,0,0
3,0.991105,0.612276,0,0
4,0.993383,0.580474,0,0
5,0.990774,0.590679,0,0
6,0.99295,0.604596,0,0
7,0.991514,0.557636,0,0
8,0.970704,0.535891,0,0
9,0.989081,0.497798,0,0
10,0.982314,0.552727,0,0
11,0.990728,0.552864,0,0
12,0.946223,0.506089,0,0
13,0.992381,0.555312,0,0
14,0.98999,0.517736,0,0
15,0.970371,0.531837,0,0
16,0.989057,0.520168,0,0
17,0.990928,0.535638,0,0
18,0.992328,0.566475,0,0
19,0.991848,0.54573,0,0
20,0.991571,0.539317,0,0
21,0.990917,0.536562,0,0
22,0.946337,0.486303,0,0
23,0.970816,0.532817,0,0
24,0.991014,0.555317,0,0
25,0.985016,0.548309,0,0
26,0.991378,0.539038,0,0
27,0.946992,0.503097,0,0
28,0.971688,0.535283,0,0
29,0.989797,0.515746,0,0
30,0.946526,0.467973,0,0
