round,accuracy,macro_f1,weighted_f1,fpr
1,0.993021,0.735004,0,0
2,0.99324,0.704501,0,0
3,0.992224,0.615729,0,0
4,0.992514,0.586869,0,0
5,0.992293,0.621024,0,0
6,0.993152,0.62801,0,0
7,0.993198,0.588728,0,0
8,0.992733,0.588419,0,0
9,0.992817,0.581607,0,0
10,0.992957,0.579905,0,0
11,0.992781,0.582281,0,0
12,0.987559,0.576981,0,0
13,0.980752,0.572818,0,0
14,0.992436,0.581992,0,0
15,0.993021,0.581811,0,0
16,0.992517,0.582155,0,0
17,0.990314,0.571826,0,0
18,0.991664,0.545048,0,0
19,0.99284,0.547857,0,0
20,0.969959,0.526202,0,0
21,0.993159,0.547208,0,0
22,0.990221,0.542272,0,0
23,0.981931,0.534241,0,0
24,0.993178,0.547297,0,0
25,0.9918,0.539053,0,0
26,0.992893,0.54406,0,0
27,0.992921,0.547967,0,0
28,0.992859,0.546948,0,0
29,0.992859,0.546051,0,0
30,0.991714,0.537157,0,0
