round,accuracy,macro_f1,weighted_f1,fpr
1,0.993102,0.751069,0,0
2,0.993193,0.716115,0,0
3,0.992017,0.631357,0,0
4,0.992952,0.655609,0,0
5,0.992174,0.627126,0,0
6,0.992938,0.627851,0,0
7,0.993019,0.588273,0,0
8,0.992269,0.587981,0,0
9,0.992917,0.583867,0,0
10,0.992769,0.577945,0,0
11,0.992971,0.582156,0,0
12,0.989867,0.579638,0,0
13,0.97924,0.572582,0,0
14,0.993043,0.582675,0,0
15,0.993255,0.579915,0,0
16,0.99315,0.580766,0,0
17,0.992281,0.584163,0,0
18,0.99124,0.560746,0,0
19,0.992898,0.54718,0,0
20,0.980626,0.539135,0,0
21,0.993148,0.552988,0,0
22,0.992386,0.549442,0,0
23,0.984459,0.543064,0,0
24,0.993131,0.549073,0,0
25,0.991859,0.541324,0,0
26,0.992786,0.544197,0,0
27,0.992886,0.548096,0,0
28,0.99299,0.547069,0,0
29,0.9927,0.546841,0,0
30,0.992236,0.538922,0,0
