round,accuracy,macro_f1,weighted_f1,fpr
1,0.99289,0.738348,0,0
2,0.993393,0.712211,0,0
3,0.993083,0.677859,0,0
4,0.993102,0.643559,0,0
5,0.992564,0.643063,0,0
6,0.993474,0.62865,0,0
7,0.993519,0.582397,0,0
8,0.993312,0.582225,0,0
9,0.993269,0.583875,0,0
10,0.993086,0.593293,0,0
11,0.992226,0.582014,0,0
12,0.99315,0.581741,0,0
13,0.991626,0.586179,0,0
14,0.993381,0.581721,0,0
15,0.993312,0.584659,0,0
16,0.993109,0.583046,0,0
17,0.992714,0.581908,0,0
18,0.993336,0.549427,0,0
19,0.993328,0.546996,0,0
20,0.985602,0.543829,0,0
21,0.993309,0.557623,0,0
22,0.993209,0.548194,0,0
23,0.987697,0.547057,0,0
24,0.993159,0.544868,0,0
25,0.992626,0.546908,0,0
26,0.993395,0.546308,0,0
27,0.992662,0.548121,0,0
28,0.993245,0.546922,0,0
29,0.993076,0.545548,0,0
30,0.992888,0.545989,0,0
