round,accuracy,macro_f1,weighted_f1,fpr
1,0.992748,0.70969,0,0
2,0.993333,0.667323,0,0
3,0.991786,0.586622,0,0
4,0.992267,0.587573,0,0
5,0.992281,0.589475,0,0
6,0.993083,0.581579,0,0
7,0.992548,0.579378,0,0
8,0.992624,0.57979,0,0
9,0.993081,0.58279,0,0
10,0.992967,0.583824,0,0
11,0.993233,0.597767,0,0
12,0.992702,0.582299,0,0
13,0.99195,0.545214,0,0
14,0.993231,0.547372,0,0
15,0.992871,0.540235,0,0
16,0.993255,0.546074,0,0
17,0.99235,0.543681,0,0
18,0.993298,0.547157,0,0
19,0.993305,0.545782,0,0
20,0.992405,0.539592,0,0
21,0.993171,0.547051,0,0
22,0.992833,0.539028,0,0
23,0.992352,0.539744,0,0
24,0.99299,0.540425,0,0
25,0.990933,0.536713,0,0
26,0.992948,0.544196,0,0
27,0.992721,0.545979,0,0
28,0.992886,0.546271,0,0
29,0.99264,0.545813,0,0
30,0.992862,0.538647,0,0
31,0.993307,0.54282,0,0
32,0.992378,0.541999,0,0
33,0.992771,0.543449,0,0
34,0.993402,0.544221,0,0
35,0.992769,0.542827,0,0
36,0.992759,0.539339,0,0
37,0.99244,0.542877,0,0
38,0.9925,0.545468,0,0
39,0.992355,0.54181,0,0
40,0.993362,0.543794,0,0
41,0.992502,0.538077,0,0
42,0.993367,0.547381,0,0
43,0.992836,0.538822,0,0
44,0.99335,0.574162,0,0
45,0.992802,0.578603,0,0
46,0.9924,0.572892,0,0
47,0.991917,0.572152,0,0
48,0.992981,0.577593,0,0
49,0.991517,0.568174,0,0
50,0.992648,0.571733,0,0
