round,client_id,trust_score
1,40,0.052125
1,7,-0.3
1,1,0.088885
1,17,-0.3
1,15,-0.046825
1,14,-0.055032
1,8,-0.041862
1,6,0.044974
1,34,0.091126
1,5,-0.023077
1,37,-0.110952
1,27,0.047056
1,2,-0.079738
1,47,-0.09926
1,49,0.054022
1,13,0.070362
1,44,0.064538
1,32,-0.3
1,36,0.023077
1,46,0.085527
2,40,0.024193
2,7,-0.3
2,1,0.088885
2,17,-0.57
2,15,-0.046825
2,14,-0.113266
2,8,-0.041862
2,6,0.015428
2,34,0.075764
2,5,-0.023077
2,37,-0.268666
2,27,0.0486
2,2,-0.169871
2,47,-0.09926
2,49,0.054022
2,13,0.103933
2,44,0.077743
2,32,-0.3
2,36,-0.036008
2,46,0.085527
2,12,0.099294
2,45,0.024695
2,41,0.080313
2,26,-0.269683
2,28,0.074544
2,0,-0.3
2,10,0.071163
2,21,0.016434
2,9,0.093349
3,40,0.024193
3,7,-0.57
3,1,0.088885
3,17,-0.57
3,15,-0.046825
3,14,-0.083661
3,8,-0.041862
3,6,0.088141
3,34,0.131266
3,5,-0.094411
3,37,-0.268666
3,27,0.0486
3,2,-0.360712
3,47,-0.241716
3,49,0.058246
3,13,0.103933
3,44,0.077743
3,32,-0.3
3,36,-0.036008
3,46,0.085527
3,12,0.190723
3,45,0.024695
3,41,0.080313
3,26,-0.269683
3,28,0.074544
3,0,-0.3
3,10,0.071163
3,21,0.016434
3,9,0.093349
3,24,-0.016378
3,22,-0.130802
3,38,0.026119
3,16,-0.3
3,29,0.021541
3,35,0.044379
3,18,0.050452
3,23,-0.071821
3,4,-0.006576
3,43,0.006576
3,39,-0.3
4,40,0.006236
4,7,-0.57
4,1,0.088885
4,17,-0.813
4,15,-0.097221
4,14,-0.182301
4,8,-0.041862
4,6,-0.003606
4,34,0.151076
4,5,-0.27158
4,37,-0.268666
4,27,0.0486
4,2,-0.360712
4,47,-0.241716
4,49,0.058246
4,13,0.155132
4,44,0.147094
4,32,-0.3
4,36,-0.036008
4,46,0.085527
4,12,0.215329
4,45,0.024695
4,41,0.087818
4,26,-0.269683
4,28,0.074544
4,0,-0.3
4,10,0.125128
4,21,0.016434
4,9,0.093349
4,24,-0.114076
4,22,-0.304348
4,38,0.026119
4,16,-0.3
4,29,-0.054846
4,35,0.044379
4,18,0.114606
4,23,-0.039297
4,4,-0.078795
4,43,0.071619
4,39,-0.3
4,42,0.062673
5,40,0.021188
5,7,-0.57
5,1,0.088885
5,17,-1.0317
5,15,-0.097221
5,14,-0.265221
5,8,-0.041862
5,6,-0.003606
5,34,0.151076
5,5,-0.27158
5,37,-0.268666
5,27,0.0486
5,2,-0.567863
5,47,-0.409168
5,49,0.07761
5,13,0.17492
5,44,0.137434
5,32,-0.3
5,36,-0.036008
5,46,0.120432
5,12,0.215329
5,45,-0.042842
5,41,0.087818
5,26,-0.269683
5,28,0.084317
5,0,-0.3
5,10,0.125128
5,21,0.016434
5,9,0.093349
5,24,-0.114076
5,22,-0.304348
5,38,-0.084768
5,16,-0.3
5,29,-0.054846
5,35,0.082775
5,18,0.114606
5,23,-0.039297
5,4,-0.161962
5,43,0.059408
5,39,-0.57
5,42,0.062673
5,20,0.058602
5,3,-0.3
5,25,0.069832
5,31,0.075122
6,40,0.056575
6,7,-0.57
6,1,0.088885
6,17,-1.0317
6,15,-0.198512
6,14,-0.26302
6,8,-0.179343
6,6,-0.003606
6,34,0.18996
6,5,-0.347472
6,37,-0.398671
6,27,0.075422
6,2,-0.567863
6,47,-0.409168
6,49,0.07761
6,13,0.17492
6,44,0.137434
6,32,-0.57
6,36,-0.036008
6,46,0.162194
6,12,0.215329
6,45,-0.020903
6,41,0.154548
6,26,-0.269683
6,28,0.084317
6,0,-0.3
6,10,0.125128
6,21,0.016434
6,9,0.195883
6,24,-0.120323
6,22,-0.304348
6,38,-0.084768
6,16,-0.57
6,29,-0.075119
6,35,0.127756
6,18,0.114606
6,23,-0.099184
6,4,-0.161962
6,43,0.059408
6,39,-0.57
6,42,0.062673
6,20,0.058602
6,3,-0.3
6,25,0.133932
6,31,0.139957
7,40,0.126821
7,7,-0.813
7,1,0.088885
7,17,-1.22853
7,15,-0.198512
7,14,-0.26302
7,8,-0.179343
7,6,-0.003606
7,34,0.18996
7,5,-0.347472
7,37,-0.398671
7,27,0.125663
7,2,-0.567863
7,47,-0.409168
7,49,0.118086
7,13,0.17492
7,44,0.137434
7,32,-0.57
7,36,-0.036008
7,46,0.184716
7,12,0.215329
7,45,-0.020903
7,41,0.154548
7,26,-0.269683
7,28,0.084317
7,0,-0.57
7,10,0.262343
7,21,0.094571
7,9,0.336138
7,24,-0.167287
7,22,-0.304348
7,38,-0.156208
7,16,-0.813
7,29,-0.082619
7,35,0.127756
7,18,0.114606
7,23,-0.099184
7,4,-0.194749
7,43,0.054582
7,39,-0.57
7,42,0.109636
7,20,0.058602
7,3,-0.57
7,25,0.133932
7,31,0.139957
7,33,-0.001115
7,48,0.016064
8,40,0.126821
8,7,-0.813
8,1,0.088885
8,17,-1.22853
8,15,-0.244924
8,14,-0.26302
8,8,-0.179343
8,6,0.019529
8,34,0.18996
8,5,-0.347472
8,37,-0.398671
8,27,0.090323
8,2,-0.567863
8,47,-0.579789
8,49,0.118086
8,13,0.17492
8,44,0.137434
8,32,-0.813
8,36,-0.036008
8,46,0.184716
8,12,0.280885
8,45,-0.053303
8,41,0.181907
8,26,-0.269683
8,28,0.084317
8,0,-0.813
8,10,0.304745
8,21,0.094571
8,9,0.410124
8,24,-0.167287
8,22,-0.304348
8,38,-0.156208
8,16,-1.0317
8,29,-0.130684
8,35,0.127756
8,18,0.207765
8,23,-0.060255
8,4,-0.194749
8,43,0.130575
8,39,-0.57
8,42,0.109636
8,20,0.09934
8,3,-0.57
8,25,0.133932
8,31,0.139957
8,33,-0.03712
8,48,0.016064
8,11,0.026578
8,19,-0.23407
9,40,0.126821
9,7,-1.0317
9,1,0.202494
9,17,-1.22853
9,15,-0.283118
9,14,-0.26302
9,8,-0.191889
9,6,0.019529
9,34,0.240438
9,5,-0.331957
9,37,-0.376647
9,27,0.104612
9,2,-0.567863
9,47,-0.579789
9,49,0.118086
9,13,0.17492
9,44,0.137434
9,32,-0.813
9,36,-0.028913
9,46,0.184716
9,12,0.280885
9,45,-0.026662
9,41,0.287782
9,26,-0.269683
9,28,0.084317
9,0,-0.813
9,10,0.397355
9,21,0.094571
9,9,0.410124
9,24,-0.167287
9,22,-0.304348
9,38,-0.156208
9,16,-1.22853
9,29,-0.130684
9,35,0.127756
9,18,0.207765
9,23,-0.057723
9,4,-0.109848
9,43,0.130575
9,39,-0.57
9,42,0.170441
9,20,0.09934
9,3,-0.813
9,25,0.133932
9,31,0.239525
9,33,-0.03712
9,48,0.016064
9,11,0.026578
9,19,-0.237324
9,30,-0.3
10,40,0.126821
10,7,-1.22853
10,1,0.251062
10,17,-1.22853
10,15,-0.321127
10,14,-0.347316
10,8,-0.191889
10,6,0.019529
10,34,0.211801
10,5,-0.331957
10,37,-0.376647
10,27,0.104612
10,2,-0.567863
10,47,-0.579789
10,49,0.118086
10,13,0.227731
10,44,0.175186
10,32,-0.813
10,36,-0.028913
10,46,0.237982
10,12,0.294385
10,45,-0.026662
10,41,0.300173
10,26,-0.269683
10,28,0.080478
10,0,-0.813
10,10,0.397355
10,21,0.032863
10,9,0.410124
10,24,-0.167287
10,22,-0.304348
10,38,-0.156208
10,16,-1.22853
10,29,-0.130684
10,35,0.127756
10,18,0.255567
10,23,-0.075146
10,4,-0.186869
10,43,0.130575
10,39,-0.813
10,42,0.206516
10,20,0.09934
10,3,-0.813
10,25,0.180837
10,31,0.239525
10,33,-0.136652
10,48,0.016064
10,11,0.026578
10,19,-0.415162
10,30,-0.3
11,40,0.179654
11,7,-1.22853
11,1,0.251062
11,17,-1.405677
11,15,-0.29366
11,14,-0.321104
11,8,-0.31041
11,6,0.019529
11,34,0.211801
11,5,-0.331957
11,37,-0.357225
11,27,0.104612
11,2,-0.578457
11,47,-0.579789
11,49,0.118086
11,13,0.287333
11,44,0.238971
11,32,-1.0317
11,36,-0.028913
11,46,0.309468
11,12,0.294385
11,45,-0.026662
11,41,0.300173
11,26,-0.269683
11,28,0.080478
11,0,-1.0317
11,10,0.397355
11,21,0.071329
11,9,0.410124
11,24,-0.167287
11,22,-0.304348
11,38,-0.156208
11,16,-1.22853
11,29,-0.130684
11,35,0.155535
11,18,0.255567
11,23,-0.062986
11,4,-0.186614
11,43,0.185037
11,39,-0.813
11,42,0.206516
11,20,0.09934
11,3,-1.0317
11,25,0.180837
11,31,0.286957
11,33,-0.136652
11,48,0.0712
11,11,0.026578
11,19,-0.415162
11,30,-0.3
12,40,0.221972
12,7,-1.22853
12,1,0.251062
12,17,-1.405677
12,15,-0.268616
12,14,-0.321104
12,8,-0.31041
12,6,0.005546
12,34,0.211801
12,5,-0.331957
12,37,-0.357225
12,27,0.064185
12,2,-0.578457
12,47,-0.573592
12,49,0.17679
12,13,0.287333
12,44,0.283043
12,32,-1.22853
12,36,0.052646
12,46,0.309468
12,12,0.33619
12,45,-0.026662
12,41,0.326415
