round,client_id,trust_score
1,40,0.034983
1,7,-0.730257
1,1,0.096978
1,17,-0.511137
1,15,-0.067787
1,14,-0.024697
1,8,-0.005162
1,6,0.000855
1,34,0.090693
1,5,-0.000855
1,37,-0.169107
1,27,0.059117
1,2,-0.140213
1,47,-0.108223
1,49,0.050842
1,13,0.067113
1,44,0.034192
1,32,-1.394726
1,36,0.023362
1,46,0.092128
2,40,-0.045832
2,7,-0.730257
2,1,0.096978
2,17,-1.128599
2,15,-0.067787
2,14,-0.184021
2,8,-0.005162
2,6,0.001625
2,34,0.07128
2,5,-0.000855
2,37,-0.520218
2,27,0.058583
2,2,-0.284395
2,47,-0.108223
2,49,0.050842
2,13,0.099181
2,44,0.031371
2,32,-1.394726
2,36,-0.048777
2,46,0.092128
2,12,0.091995
2,45,-0.000598
2,41,0.052399
2,26,-0.33811
2,28,0.05689
2,0,-0.786674
2,10,0.065097
2,21,0.030686
2,9,0.088008
3,40,-0.045832
3,7,-2.143483
3,1,0.096978
3,17,-1.128599
3,15,-0.067787
3,14,-0.150922
3,8,-0.005162
3,6,0.070892
3,34,0.113914
3,5,-0.068104
3,37,-0.520218
3,27,0.058583
3,2,-0.540539
3,47,-0.286032
3,49,0.057843
3,13,0.099181
3,44,0.031371
3,32,-1.394726
3,36,-0.048777
3,46,0.092128
3,12,0.203973
3,45,-0.000598
3,41,0.052399
3,26,-0.33811
3,28,0.05689
3,0,-0.786674
3,10,0.065097
3,21,0.030686
3,9,0.088008
3,24,-0.005567
3,22,-0.119058
3,38,0.003867
3,16,-1.207647
3,29,0.04783
3,35,0.038479
3,18,0.067566
3,23,-0.099715
3,4,0.000372
3,43,-0.000372
3,39,-1.256735
4,40,-0.062648
4,7,-2.143483
4,1,0.096978
4,17,-1.812383
4,15,-0.099595
4,14,-0.218184
4,8,-0.005162
4,6,0.052161
4,34,0.150415
4,5,-0.221105
4,37,-0.520218
4,27,0.058583
4,2,-0.540539
4,47,-0.286032
4,49,0.057843
4,13,0.161272
4,44,0.118432
4,32,-1.394726
4,36,-0.048777
4,46,0.092128
4,12,0.247758
4,45,-0.000598
4,41,0.074487
4,26,-0.33811
4,28,0.05689
4,0,-0.786674
4,10,0.121261
4,21,0.030686
4,9,0.088008
4,24,-0.073588
4,22,-0.217879
4,38,0.003867
4,16,-1.207647
4,29,-0.007669
4,35,0.038479
4,18,0.142978
4,23,-0.078101
4,4,-0.094561
4,43,0.067481
4,39,-1.256735
4,42,0.067084
5,40,-0.067829
5,7,-2.143483
5,1,0.096978
5,17,-2.60919
5,15,-0.099595
5,14,-0.305785
5,8,-0.005162
5,6,0.052161
5,34,0.150415
5,5,-0.221105
5,37,-0.520218
5,27,0.058583
5,2,-0.707504
5,47,-0.421783
5,49,0.063503
5,13,0.207929
5,44,0.132355
5,32,-1.394726
5,36,-0.048777
5,46,0.149234
5,12,0.247758
5,45,-0.093133
5,41,0.074487
5,26,-0.33811
5,28,0.093519
5,0,-0.786674
5,10,0.121261
5,21,0.030686
5,9,0.088008
5,24,-0.073588
5,22,-0.217879
5,38,-0.105339
5,16,-1.207647
5,29,-0.007669
5,35,0.064583
5,18,0.142978
5,23,-0.078101
5,4,-0.224637
5,43,0.083025
5,39,-2.239659
5,42,0.067084
5,20,0.049727
5,3,-1.158709
5,25,0.060918
5,31,0.068581
6,40,-0.019566
6,7,-2.143483
6,1,0.096978
6,17,-2.60919
6,15,-0.240417
6,14,-0.342599
6,8,-0.277524
6,6,0.052161
6,34,0.193996
6,5,-0.381867
6,37,-0.699554
6,27,0.087633
6,2,-0.707504
6,47,-0.421783
6,49,0.063503
6,13,0.207929
6,44,0.132355
6,32,-2.706011
6,36,-0.048777
6,46,0.176055
6,12,0.247758
6,45,-0.080463
6,41,0.136031
6,26,-0.33811
6,28,0.093519
6,0,-0.786674
6,10,0.121261
6,21,0.030686
6,9,0.221528
6,24,-0.069586
6,22,-0.217879
6,38,-0.105339
6,16,-2.247749
6,29,-0.027634
6,35,0.11876
6,18,0.142978
6,23,-0.186866
6,4,-0.224637
6,43,0.083025
6,39,-2.239659
6,42,0.067084
6,20,0.049727
6,3,-1.158709
6,25,0.111373
6,31,0.129231
7,40,0.083492
7,7,-3.889585
7,1,0.096978
7,17,-3.439568
7,15,-0.240417
7,14,-0.342599
7,8,-0.277524
7,6,0.052161
7,34,0.193996
7,5,-0.381867
7,37,-0.699554
7,27,0.0834
7,2,-0.707504
7,47,-0.421783
7,49,0.115331
7,13,0.207929
7,44,0.132355
7,32,-2.706011
7,36,-0.048777
7,46,0.203944
7,12,0.247758
7,45,-0.080463
7,41,0.136031
7,26,-0.33811
7,28,0.093519
7,0,-1.65192
7,10,0.298138
7,21,0.149147
7,9,0.403776
7,24,-0.107897
7,22,-0.217879
7,38,-0.150844
7,16,-3.533067
7,29,0.028608
7,35,0.11876
7,18,0.142978
7,23,-0.186866
7,4,-0.252394
7,43,0.070192
7,39,-2.239659
7,42,0.100192
7,20,0.049727
7,3,-3.013869
7,25,0.111373
7,31,0.129231
7,33,-0.076722
7,48,0.008576
8,40,0.083492
8,7,-3.889585
8,1,0.096978
8,17,-3.439568
8,15,-0.243252
8,14,-0.342599
8,8,-0.277524
8,6,0.073145
8,34,0.193996
8,5,-0.381867
8,37,-0.699554
8,27,0.039166
8,2,-0.707504
8,47,-0.536412
8,49,0.115331
8,13,0.207929
8,44,0.132355
8,32,-4.145776
8,36,-0.048777
8,46,0.203944
8,12,0.291476
8,45,-0.104496
8,41,0.180442
8,26,-0.33811
8,28,0.093519
8,0,-2.207842
8,10,0.349519
8,21,0.149147
8,9,0.474202
8,24,-0.107897
8,22,-0.217879
8,38,-0.150844
8,16,-4.315044
8,29,0.005839
8,35,0.11876
8,18,0.234046
8,23,-0.104201
8,4,-0.252394
8,43,0.145718
8,39,-2.239659
8,42,0.100192
8,20,0.11116
8,3,-3.013869
8,25,0.111373
8,31,0.129231
8,33,-0.105328
8,48,0.008576
8,11,0.019908
8,19,-0.240364
9,40,0.083492
9,7,-4.080066
9,1,0.198629
9,17,-3.439568
9,15,-0.284642
9,14,-0.342599
9,8,-0.272403
9,6,0.073145
9,34,0.24709
9,5,-0.348657
9,37,-0.672145
9,27,0.057916
9,2,-0.707504
9,47,-0.536412
9,49,0.115331
9,13,0.207929
9,44,0.132355
9,32,-4.145776
9,36,-0.038923
9,46,0.203944
9,12,0.291476
9,45,-0.049617
9,41,0.261009
9,26,-0.33811
9,28,0.093519
9,0,-2.207842
9,10,0.428802
9,21,0.149147
9,9,0.474202
9,24,-0.107897
9,22,-0.217879
9,38,-0.150844
9,16,-4.36026
9,29,0.005839
9,35,0.11876
9,18,0.234046
9,23,-0.101408
9,4,-0.206252
9,43,0.145718
9,39,-2.239659
9,42,0.157121
9,20,0.11116
9,3,-3.199888
9,25,0.111373
9,31,0.221041
9,33,-0.105328
9,48,0.008576
9,11,0.019908
9,19,-0.28428
9,30,-0.562613
10,40,0.083492
10,7,-4.680254
10,1,0.246656
10,17,-3.439568
10,15,-0.300186
10,14,-0.39161
10,8,-0.272403
10,6,0.073145
10,34,0.211409
10,5,-0.348657
10,37,-0.672145
10,27,0.057916
10,2,-0.707504
10,47,-0.536412
10,49,0.115331
10,13,0.271985
10,44,0.186129
10,32,-4.145776
10,36,-0.038923
10,46,0.263592
10,12,0.304157
10,45,-0.049617
10,41,0.273256
10,26,-0.33811
10,28,0.092323
10,0,-2.207842
10,10,0.428802
10,21,0.069242
10,9,0.474202
10,24,-0.107897
10,22,-0.217879
10,38,-0.150844
10,16,-4.36026
10,29,0.005839
10,35,0.11876
10,18,0.287862
10,23,-0.099423
10,4,-0.291456
10,43,0.145718
10,39,-3.089982
10,42,0.199235
10,20,0.11116
10,3,-3.199888
10,25,0.148478
10,31,0.221041
10,33,-0.195965
10,48,0.008576
10,11,0.019908
10,19,-0.591763
10,30,-0.562613
11,40,0.142077
11,7,-4.680254
11,1,0.246656
11,17,-3.501856
11,15,-0.288453
11,14,-0.344455
11,8,-0.401351
11,6,0.073145
11,34,0.211409
11,5,-0.348657
11,37,-0.656008
11,27,0.057916
11,2,-0.743893
11,47,-0.536412
11,49,0.115331
11,13,0.354782
11,44,0.256365
11,32,-4.562799
11,36,-0.038923
11,46,0.352816
11,12,0.304157
11,45,-0.049617
11,41,0.273256
11,26,-0.33811
11,28,0.092323
11,0,-2.322339
11,10,0.428802
11,21,0.093852
11,9,0.474202
11,24,-0.107897
11,22,-0.217879
11,38,-0.150844
11,16,-4.36026
11,29,0.005839
11,35,0.156633
11,18,0.287862
11,23,-0.097474
11,4,-0.292364
11,43,0.199112
11,39,-3.089982
11,42,0.199235
11,20,0.11116
11,3,-3.726797
11,25,0.148478
11,31,0.264808
11,33,-0.195965
11,48,0.065103
11,11,0.019908
11,19,-0.591763
11,30,-0.562613
12,40,0.160121
12,7,-4.680254
12,1,0.246656
12,17,-3.501856
12,15,-0.275983
12,14,-0.344455
12,8,-0.401351
12,6,0.05911
12,34,0.211409
12,5,-0.348657
12,37,-0.656008
12,27,-0.012417
12,2,-0.743893
12,47,-0.553129
12,49,0.210473
12,13,0.354782
12,44,0.308093
12,32,-5.334363
12,36,-0.020562
12,46,0.352816
12,12,0.324824
12,45,-0.049617
12,41,0.28521
12,26,-0.637981
12,28,0.092323
12,0,-2.322339
12,10,0.428802
12,21,0.091187
12,9,0.474202
12,24,-0.107897
12,22,-0.297558
12,38,-0.150844
12,16,-4.36026
12,29,-0.135282
12,35,0.169908
12,18,0.287862
12,23,-0.097474
12,4,-0.292364
12,43,0.199112
12,39,-3.089982
12,42,0.255877
12,20,0.11116
12,3,-4.409538
12,25,0.155438
12,31,0.264808
12,33,-0.195965
12,48,0.065103
12,11,0.019908
12,19,-0.591763
12,30,-1.790476
13,40,0.160121
13,7,-4.680254
13,1,0.246656
13,17,-3.543101
13,15,-0.245661
13,14,-0.344455
13,8,-0.427695
13,6,0.09401
13,34,0.258689
13,5,-0.316515
13,37,-0.656008
13,27,-0.045615
13,2,-0.743893
13,47,-0.536793
13,49,0.282056
13,13,0.354782
13,44,0.369251
13,32,-5.334363
13,36,-0.020562
13,46,0.352816
13,12,0.367418
13,45,-0.049617
13,41,0.28521
13,26,-0.637981
13,28,0.151608
13,0,-2.403275
13,10,0.428802
13,21,0.091187
13,9,0.474202
13,24,-0.107897
13,22,-0.297558
13,38,-0.150844
13,16,-4.36026
13,29,-0.126073
13,35,0.230527
13,18,0.287862
13,23,-0.097474
13,4,-0.303709
13,43,0.199112
13,39,-3.455863
13,42,0.255877
13,20,0.11116
13,3,-4.547644
13,25,0.155438
13,31,0.264808
13,33,-0.195965
13,48,0.122828
13,11,0.070161
13,19,-0.591763
13,30,-1.790476
14,40,0.160121
14,7,-4.680254
14,1,0.246656
14,17,-3.543101
14,15,-0.230427
14,14,-0.344455
14,8,-0.427695
14,6,0.117341
14,34,0.258689
14,5,-0.316515
14,37,-0.656008
14,27,-0.093731
14,2,-0.743893
14,47,-0.511091
14,49,0.282056
14,13,0.406005
14,44,0.369251
14,32,-5.334363
14,36,-0.020562
14,46,0.352816
14,12,0.367418
14,45,-0.037946
14,41,0.28521
14,26,-0.693148
14,28,0.151608
14,0,-2.511346
14,10,0.452358
14,21,0.091187
14,9,0.494526
14,24,-0.101017
14,22,-0.297558
14,38,-0.150844
14,16,-4.5559
14,29,-0.109556
14,35,0.230527
14,18,0.347766
14,23,-0.097474
14,4,-0.303709
14,43,0.199112
14,39,-3.862376
14,42,0.255877
14,20,0.11116
14,3,-4.631037
14,25,0.20705
14,31,0.306464
14,33,-0.195965
14,48,0.137405
14,11,0.070161
14,19,-0.591763
14,30,-2.188287
15,40,0.160121
15,7,-4.680254
15,1,0.246656
15,17,-3.543101
15,15,-0.230427
15,14,-0.344455
15,8,-0.427695
15,6,0.117341
15,34,0.290677
15,5,-0.409613
15,37,-0.631787
15,27,-0.093731
15,2,-0.743893
15,47,-0.469138
15,49,0.282056
15,13,0.516963
15,44,0.392427
15,32,-5.840594
15,36,-0.020562
15,46,0.440394
15,12,0.367418
15,45,-0.037946
15,41,0.265845
15,26,-0.693148
15,28,0.151608
15,0,-2.511346
15,10,0.479537
15,21,0.091187
15,9,0.494526
15,24,-0.101017
15,22,-0.297558
15,38,-0.177415
15,16,-4.5559
15,29,-0.109556
15,35,0.230527
15,18,0.406273
15,23,-0.097474
15,4,-0.315779
15,43,0.199112
15,39,-3.862376
15,42,0.247769
15,20,0.169138
15,3,-5.209321
15,25,0.20705
15,31,0.306464
15,33,-0.242175
15,48,0.137405
15,11,0.074771
15,19,-0.644177
15,30,-3.082776
16,40,0.160121
16,7,-5.196593
16,1,0.246656
16,17,-3.543101
16,15,-0.258554
16,14,-0.344455
16,8,-0.427695
16,6,0.117341
16,34,0.303511
16,5,-0.458555
16,37,-0.551051
16,27,-0.093731
16,2,-0.783534
16,47,-0.45705
16,49,0.282056
16,13,0.6111
16,44,0.467695
16,32,-5.840594
16,36,-0.061003
16,46,0.440394
16,12,0.367418
16,45,0.015812
16,41,0.265845
16,26,-0.810544
16,28,0.151608
16,0,-2.511346
16,10,0.479537
16,21,0.091187
16,9,0.494526
16,24,-0.101017
16,22,-0.297558
16,38,-0.122879
16,16,-5.352203
16,29,-0.109556
16,35,0.230527
16,18,0.406273
16,23,-0.097474
16,4,-0.301758
16,43,0.257872
16,39,-4.655881
16,42,0.247769
16,20,0.2124
16,3,-5.209321
16,25,0.261069
16,31,0.306464
16,33,-0.198029
16,48,0.137405
16,11,0.074771
16,19,-0.644177
16,30,-3.082776
17,40,0.160121
17,7,-5.196593
17,1,0.246656
