round,client_id,trust_score
1,40,0.038344
1,7,-0.3
1,1,0.099824
1,17,-0.3
1,15,-0.000849
1,14,-0.050351
1,8,-0.060881
1,6,0.000849
1,34,0.080469
1,5,-0.126436
1,37,-0.207857
1,27,0.035983
1,2,-0.177565
1,47,-0.050161
1,49,0.066474
1,13,0.075894
1,44,0.058597
1,32,-0.3
1,36,0.023642
1,46,0.068426
2,40,0.032858
2,7,-0.3
2,1,0.099824
2,17,-0.57
2,15,-0.000849
2,14,-0.077826
2,8,-0.060881
2,6,-0.028657
2,34,0.075135
2,5,-0.126436
2,37,-0.487072
2,27,0.043954
2,2,-0.331909
2,47,-0.050161
2,49,0.066474
2,13,0.087928
2,44,0.054389
2,32,-0.3
2,36,-0.045684
2,46,0.068426
2,12,0.079142
2,45,-0.014751
2,41,0.076187
2,26,-0.181423
2,28,0.067938
2,0,-0.3
2,10,0.078602
2,21,0.017019
2,9,0.08503
3,40,0.032858
3,7,-0.57
3,1,0.099824
3,17,-0.57
3,15,-0.000849
3,14,-0.072279
3,8,-0.060881
3,6,-0.003976
3,34,0.130283
3,5,-0.208659
3,37,-0.487072
3,27,0.043954
3,2,-0.504341
3,47,-0.11816
3,49,0.072423
3,13,0.087928
3,44,0.054389
3,32,-0.3
3,36,-0.045684
3,46,0.068426
3,12,0.168409
3,45,-0.014751
3,41,0.076187
3,26,-0.181423
3,28,0.067938
3,0,-0.3
3,10,0.078602
3,21,0.017019
3,9,0.08503
3,24,0.027091
3,22,-0.077566
3,38,0.00804
3,16,-0.3
3,29,0.043798
3,35,0.073595
3,18,0.049312
3,23,-0.072239
3,4,-0.00266
3,43,0.002235
3,39,-0.3
4,40,0.009403
4,7,-0.57
4,1,0.099824
4,17,-0.813
4,15,-0.000944
4,14,-0.130573
4,8,-0.060881
4,6,-0.032684
4,34,0.151122
4,5,-0.293268
4,37,-0.487072
4,27,0.043954
4,2,-0.504341
4,47,-0.11816
4,49,0.072423
4,13,0.160092
4,44,0.135328
4,32,-0.3
4,36,-0.045684
4,46,0.068426
4,12,0.205587
4,45,-0.014751
4,41,0.09213
4,26,-0.181423
4,28,0.067938
4,0,-0.3
4,10,0.124753
4,21,0.017019
4,9,0.08503
4,24,-0.049235
4,22,-0.261791
4,38,0.00804
4,16,-0.3
4,29,-0.038707
4,35,0.073595
4,18,0.127044
4,23,-0.064835
4,4,-0.084253
4,43,0.068707
4,39,-0.3
4,42,0.068205
5,40,-0.01506
5,7,-0.57
5,1,0.099824
5,17,-1.0317
5,15,-0.000944
5,14,-0.233146
5,8,-0.060881
5,6,-0.032684
5,34,0.151122
5,5,-0.293268
5,37,-0.487072
5,27,0.043954
5,2,-0.711416
5,47,-0.257206
5,49,0.088703
5,13,0.20472
5,44,0.170765
5,32,-0.3
5,36,-0.045684
5,46,0.129668
5,12,0.205587
5,45,-0.074679
5,41,0.09213
5,26,-0.181423
5,28,0.084935
5,0,-0.3
5,10,0.124753
5,21,0.017019
5,9,0.08503
5,24,-0.049235
5,22,-0.261791
5,38,-0.226002
5,16,-0.3
5,29,-0.038707
5,35,0.093284
5,18,0.127044
5,23,-0.064835
5,4,-0.233468
5,43,0.100449
5,39,-0.57
5,42,0.068205
5,20,0.052038
5,3,-0.3
5,25,0.066815
5,31,0.072916
6,40,0.021519
6,7,-0.57
6,1,0.099824
6,17,-1.0317
6,15,-0.066324
6,14,-0.192653
6,8,-0.153773
6,6,-0.032684
6,34,0.17683
6,5,-0.303183
6,37,-0.587894
6,27,0.047198
6,2,-0.711416
6,47,-0.257206
6,49,0.088703
6,13,0.20472
6,44,0.170765
6,32,-0.57
6,36,-0.045684
6,46,0.169336
6,12,0.205587
6,45,-0.078162
6,41,0.17697
6,26,-0.181423
6,28,0.084935
6,0,-0.3
6,10,0.124753
6,21,0.017019
6,9,0.205055
6,24,-0.051951
6,22,-0.261791
6,38,-0.226002
6,16,-0.57
6,29,-0.053766
6,35,0.15338
6,18,0.127044
6,23,-0.147223
6,4,-0.233468
6,43,0.100449
6,39,-0.57
6,42,0.068205
6,20,0.052038
6,3,-0.3
6,25,0.142147
